[TRACE] 14:29:15:334 main.c/(2214:2214): ---------

[TRACE] 14:30:12:876 main.c/(2303:2303): ---------

[TRACE] 14:30:57:936 main.c/(2416:2416): ---------

[TRACE] 14:31:56:818 main.c/(2507:2507): ---------

[TRACE] 14:32:16:398 main.c/(2578:2578): ---------

[TRACE] 14:32:37:201 main.c/(2676:2676): ---------

[TRACE] 14:43:07:952 main.c/(3069:3069): ---------

[TRACE] 01:45:54:39 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:54:91 main.c/(5351:5351): Escribiendo pagina 9, pid 0
[TRACE] 01:45:54:92 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:54:96 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:54:108 main.c/(5351:5351): Leyendo pagina 9, pid 0
[TRACE] 01:45:54:111 main.c/(5351:5351): Leyendo pagina 9, pid 0
[TRACE] 01:45:54:120 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:54:123 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:54:186 main.c/(5351:5351): Escribiendo pagina 9, pid 0
[TRACE] 01:45:54:188 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:54:190 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:54:210 main.c/(5351:5351): Leyendo pagina 9, pid 0
[TRACE] 01:45:54:212 main.c/(5351:5351): Leyendo pagina 9, pid 0
[TRACE] 01:45:54:219 main.c/(5351:5351): Leyendo pagina 10, pid 0
[TRACE] 01:45:54:222 main.c/(5351:5351): Leyendo pagina 10, pid 0
[TRACE] 01:45:54:230 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:54:232 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:54:298 main.c/(5351:5351): Escribiendo pagina 10, pid 0
[TRACE] 01:45:54:299 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:54:303 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:54:324 main.c/(5351:5351): Leyendo pagina 10, pid 0
[TRACE] 01:45:54:327 main.c/(5351:5351): Leyendo pagina 10, pid 0
[TRACE] 01:45:54:344 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:54:347 main.c/(5351:5351): Leyendo pagina 2, pid 0
